type,key,category,group,pattern,result,ingredients,ingredient,experience,cookingtime,input,material,addition,template,base,show_notification
minecraft:crafting_shaped,@{#=minecraft:bamboo_planks},redstone,wooden_trapdoor,"[""###"",""###""]",@{count=2; id=minecraft:bamboo_trapdoor},,,,,,,,,,
minecraft:crafting_special_bannerduplicate,,misc,,,,,,,,,,,,,
minecraft:crafting_shaped,@{P=#minecraft:planks; S=#minecraft:wooden_slabs},misc,,"[""PSP"",""P P"",""PSP""]",@{count=1; id=minecraft:barrel},,,,,,,,,,
minecraft:crafting_shaped,@{G=minecraft:glass; O=minecraft:obsidian; S=minecraft:nether_star},misc,,"[""GGG"",""GSG"",""OOO""]",@{count=1; id=minecraft:beacon},,,,,,,,,,
minecraft:crafting_shaped,@{H=minecraft:honeycomb; P=#minecraft:planks},misc,,"[""PPP"",""HHH"",""PPP""]",@{count=1; id=minecraft:beehive},,,,,,,,,,
minecraft:crafting_shapeless,,misc,,,@{count=1; id=minecraft:beetroot_soup},"[""minecraft:bowl"",""minecraft:beetroot"",""minecraft:beetroot"",""minecraft:beetroot"",""minecraft:beetroot"",""minecraft:beetroot"",""minecraft:beetroot""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:birch_planks},misc,boat,"[""# #"",""###""]",@{count=1; id=minecraft:birch_boat},,,,,,,,,,
minecraft:crafting_shapeless,,redstone,wooden_button,,@{count=1; id=minecraft:birch_button},"""minecraft:birch_planks""",,,,,,,,,
minecraft:crafting_shapeless,,misc,chest_boat,,@{count=1; id=minecraft:birch_chest_boat},"[""minecraft:chest"",""minecraft:birch_boat""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:birch_planks},redstone,wooden_door,"[""##"",""##"",""##""]",@{count=3; id=minecraft:birch_door},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; W=minecraft:birch_planks},misc,wooden_fence,"[""W#W"",""W#W""]",@{count=3; id=minecraft:birch_fence},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; W=minecraft:birch_planks},redstone,wooden_fence_gate,"[""#W#"",""#W#""]",@{count=1; id=minecraft:birch_fence_gate},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stripped_birch_log; X=minecraft:iron_chain},misc,hanging_sign,"[""X X"",""###"",""###""]",@{count=6; id=minecraft:birch_hanging_sign},,,,,,,,,,
minecraft:crafting_shapeless,,building,planks,,@{count=4; id=minecraft:birch_planks},"""#minecraft:birch_logs""",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:birch_planks},redstone,wooden_pressure_plate,"""##""",@{count=1; id=minecraft:birch_pressure_plate},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stripped_birch_log},misc,shelf,"[""###"",""   "",""###""]",@{count=6; id=minecraft:birch_shelf},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:birch_planks; X=minecraft:stick},misc,wooden_sign,"[""###"",""###"","" X ""]",@{count=3; id=minecraft:birch_sign},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:birch_planks},building,wooden_slab,"""###""",@{count=6; id=minecraft:birch_slab},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:birch_planks},building,wooden_stairs,"[""#  "",""## "",""###""]",@{count=4; id=minecraft:birch_stairs},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:birch_planks},redstone,wooden_trapdoor,"[""###"",""###""]",@{count=2; id=minecraft:birch_trapdoor},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:birch_log},building,bark,"[""##"",""##""]",@{count=3; id=minecraft:birch_wood},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:blackstone},building,,"""###""",@{count=6; id=minecraft:blackstone_slab},,,,,,,,,,
minecraft:stonecutting,,,,,@{count=2; id=minecraft:blackstone_slab},,minecraft:blackstone,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:blackstone},building,,"[""#  "",""## "",""###""]",@{count=4; id=minecraft:blackstone_stairs},,,,,,,,,,
minecraft:stonecutting,,,,,@{count=1; id=minecraft:blackstone_stairs},,minecraft:blackstone,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:blackstone},misc,,"[""###"",""###""]",@{count=6; id=minecraft:blackstone_wall},,,,,,,,,,
minecraft:stonecutting,,,,,@{count=1; id=minecraft:blackstone_wall},,minecraft:blackstone,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:black_wool; |=minecraft:stick},misc,banner,"[""###"",""###"","" | ""]",@{count=1; id=minecraft:black_banner},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:black_wool; X=#minecraft:planks},misc,bed,"[""###"",""XXX""]",@{count=1; id=minecraft:black_bed},,,,,,,,,,
minecraft:crafting_transmute,,equipment,bundle_dye,,@{id=minecraft:black_bundle},,,,,#minecraft:bundles,minecraft:black_dye,,,,
minecraft:crafting_shapeless,,misc,dyed_candle,,@{count=1; id=minecraft:black_candle},"[""minecraft:candle"",""minecraft:black_dye""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:black_wool},misc,carpet,"""##""",@{count=3; id=minecraft:black_carpet},,,,,,,,,,
minecraft:crafting_shapeless,,building,concrete_powder,,@{count=8; id=minecraft:black_concrete_powder},"[""minecraft:black_dye"",""minecraft:sand"",""minecraft:sand"",""minecraft:sand"",""minecraft:sand"",""minecraft:gravel"",""minecraft:gravel"",""minecraft:gravel"",""minecraft:gravel""]",,,,,,,,,
minecraft:crafting_shapeless,,misc,black_dye,,@{count=1; id=minecraft:black_dye},"""minecraft:ink_sac""",,,,,,,,,
minecraft:crafting_shapeless,,misc,black_dye,,@{count=1; id=minecraft:black_dye},"""minecraft:wither_rose""",,,,,,,,,
minecraft:smelting,,blocks,,,@{id=minecraft:black_glazed_terracotta},,minecraft:black_terracotta,0.1,200,,,,,,
minecraft:crafting_shaped,@{#=minecraft:black_wool; G=minecraft:glass; L=minecraft:leather},equipment,harness,"[""LLL"",""G#G""]",@{count=1; id=minecraft:black_harness},,,,,,,,,,
minecraft:crafting_transmute,,misc,shulker_box_dye,,@{id=minecraft:black_shulker_box},,,,,#minecraft:shulker_boxes,minecraft:black_dye,,,,
minecraft:crafting_shaped,@{#=minecraft:glass; X=minecraft:black_dye},building,stained_glass,"[""###"",""#X#"",""###""]",@{count=8; id=minecraft:black_stained_glass},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:black_stained_glass},misc,stained_glass_pane,"[""###"",""###""]",@{count=16; id=minecraft:black_stained_glass_pane},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:glass_pane; $=minecraft:black_dye},misc,stained_glass_pane,"[""###"",""#$#"",""###""]",@{count=8; id=minecraft:black_stained_glass_pane},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:terracotta; X=minecraft:black_dye},building,stained_terracotta,"[""###"",""#X#"",""###""]",@{count=8; id=minecraft:black_terracotta},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:smooth_stone; I=minecraft:iron_ingot; X=minecraft:furnace},misc,,"[""III"",""IXI"",""###""]",@{count=1; id=minecraft:blast_furnace},,,,,,,,,,
minecraft:crafting_shapeless,,misc,,,@{count=2; id=minecraft:blaze_powder},"""minecraft:blaze_rod""",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:blue_wool; |=minecraft:stick},misc,banner,"[""###"",""###"","" | ""]",@{count=1; id=minecraft:blue_banner},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:blue_wool; X=#minecraft:planks},misc,bed,"[""###"",""XXX""]",@{count=1; id=minecraft:blue_bed},,,,,,,,,,
minecraft:crafting_transmute,,equipment,bundle_dye,,@{id=minecraft:blue_bundle},,,,,#minecraft:bundles,minecraft:blue_dye,,,,
minecraft:crafting_shapeless,,misc,dyed_candle,,@{count=1; id=minecraft:blue_candle},"[""minecraft:candle"",""minecraft:blue_dye""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:blue_wool},misc,carpet,"""##""",@{count=3; id=minecraft:blue_carpet},,,,,,,,,,
minecraft:crafting_shapeless,,building,concrete_powder,,@{count=8; id=minecraft:blue_concrete_powder},"[""minecraft:blue_dye"",""minecraft:sand"",""minecraft:sand"",""minecraft:sand"",""minecraft:sand"",""minecraft:gravel"",""minecraft:gravel"",""minecraft:gravel"",""minecraft:gravel""]",,,,,,,,,
minecraft:crafting_shapeless,,misc,blue_dye,,@{count=1; id=minecraft:blue_dye},"""minecraft:lapis_lazuli""",,,,,,,,,
minecraft:crafting_shapeless,,misc,blue_dye,,@{count=1; id=minecraft:blue_dye},"""minecraft:cornflower""",,,,,,,,,
minecraft:smelting,,blocks,,,@{id=minecraft:blue_glazed_terracotta},,minecraft:blue_terracotta,0.1,200,,,,,,
minecraft:crafting_shaped,@{#=minecraft:blue_wool; G=minecraft:glass; L=minecraft:leather},equipment,harness,"[""LLL"",""G#G""]",@{count=1; id=minecraft:blue_harness},,,,,,,,,,
minecraft:crafting_shapeless,,building,,,@{count=1; id=minecraft:blue_ice},"[""minecraft:packed_ice"",""minecraft:packed_ice"",""minecraft:packed_ice"",""minecraft:packed_ice"",""minecraft:packed_ice"",""minecraft:packed_ice"",""minecraft:packed_ice"",""minecraft:packed_ice"",""minecraft:packed_ice""]",,,,,,,,,
minecraft:crafting_transmute,,misc,shulker_box_dye,,@{id=minecraft:blue_shulker_box},,,,,#minecraft:shulker_boxes,minecraft:blue_dye,,,,
minecraft:crafting_shaped,@{#=minecraft:glass; X=minecraft:blue_dye},building,stained_glass,"[""###"",""#X#"",""###""]",@{count=8; id=minecraft:blue_stained_glass},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:blue_stained_glass},misc,stained_glass_pane,"[""###"",""###""]",@{count=16; id=minecraft:blue_stained_glass_pane},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:glass_pane; $=minecraft:blue_dye},misc,stained_glass_pane,"[""###"",""#$#"",""###""]",@{count=8; id=minecraft:blue_stained_glass_pane},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:terracotta; X=minecraft:blue_dye},building,stained_terracotta,"[""###"",""#X#"",""###""]",@{count=8; id=minecraft:blue_terracotta},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:diamond; C=System.Object[]; S=minecraft:bolt_armor_trim_smithing_template},misc,,"[""#S#"",""#C#"",""###""]",@{count=2; id=minecraft:bolt_armor_trim_smithing_template},,,,,,,,,,
minecraft:smithing_trim,,,,minecraft:bolt,,,,,,,,#minecraft:trim_materials,minecraft:bolt_armor_trim_smithing_template,#minecraft:trimmable_armor,
minecraft:crafting_shaped,@{#=minecraft:bone_meal},building,,"[""###"",""###"",""###""]",@{count=1; id=minecraft:bone_block},,,,,,,,,,
minecraft:crafting_shapeless,,misc,bonemeal,,@{count=3; id=minecraft:bone_meal},"""minecraft:bone""",,,,,,,,,
minecraft:crafting_shapeless,,misc,bonemeal,,@{count=9; id=minecraft:bone_meal},"""minecraft:bone_block""",,,,,,,,,
minecraft:crafting_shapeless,,misc,,,@{count=1; id=minecraft:book},"[""minecraft:paper"",""minecraft:paper"",""minecraft:paper"",""minecraft:leather""]",,,,,,,,,
minecraft:crafting_shaped,@{#=#minecraft:planks; X=minecraft:book},building,,"[""###"",""XXX"",""###""]",@{count=1; id=minecraft:bookshelf},,,,,,,,,,
minecraft:crafting_special_bookcloning,,misc,,,,,,,,,,,,,
minecraft:crafting_shapeless,,misc,,,@{count=1; id=minecraft:bordure_indented_banner_pattern},"[""minecraft:paper"",""minecraft:vine""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; X=minecraft:string},equipment,,"["" #X"",""# X"","" #X""]",@{count=1; id=minecraft:bow},,,,,,,,,,
minecraft:crafting_shaped,@{#=#minecraft:planks},misc,,"[""# #"","" # ""]",@{count=4; id=minecraft:bowl},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:wheat},misc,,"""###""",@{count=1; id=minecraft:bread},,,,,,,,,,
minecraft:crafting_shaped,@{#=#minecraft:stone_crafting_materials; B=minecraft:blaze_rod},misc,,"["" B "",""###""]",@{count=1; id=minecraft:brewing_stand},,,,,,,,,,
minecraft:smelting,,misc,,,@{id=minecraft:brick},,minecraft:clay_ball,0.3,200,,,,,,
minecraft:crafting_shaped,@{#=minecraft:brick},building,,"[""##"",""##""]",@{count=1; id=minecraft:bricks},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bricks},building,,"""###""",@{count=6; id=minecraft:brick_slab},,,,,,,,,,
minecraft:stonecutting,,,,,@{count=2; id=minecraft:brick_slab},,minecraft:bricks,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bricks},building,,"[""#  "",""## "",""###""]",@{count=4; id=minecraft:brick_stairs},,,,,,,,,,
minecraft:stonecutting,,,,,@{count=1; id=minecraft:brick_stairs},,minecraft:bricks,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bricks},misc,,"[""###"",""###""]",@{count=6; id=minecraft:brick_wall},,,,,,,,,,
minecraft:stonecutting,,,,,@{count=1; id=minecraft:brick_wall},,minecraft:bricks,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:brown_wool; |=minecraft:stick},misc,banner,"[""###"",""###"","" | ""]",@{count=1; id=minecraft:brown_banner},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:brown_wool; X=#minecraft:planks},misc,bed,"[""###"",""XXX""]",@{count=1; id=minecraft:brown_bed},,,,,,,,,,
minecraft:crafting_transmute,,equipment,bundle_dye,,@{id=minecraft:brown_bundle},,,,,#minecraft:bundles,minecraft:brown_dye,,,,
minecraft:crafting_shapeless,,misc,dyed_candle,,@{count=1; id=minecraft:brown_candle},"[""minecraft:candle"",""minecraft:brown_dye""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:brown_wool},misc,carpet,"""##""",@{count=3; id=minecraft:brown_carpet},,,,,,,,,,
minecraft:crafting_shapeless,,building,concrete_powder,,@{count=8; id=minecraft:brown_concrete_powder},"[""minecraft:brown_dye"",""minecraft:sand"",""minecraft:sand"",""minecraft:sand"",""minecraft:sand"",""minecraft:gravel"",""minecraft:gravel"",""minecraft:gravel"",""minecraft:gravel""]",,,,,,,,,
minecraft:crafting_shapeless,,misc,brown_dye,,@{count=1; id=minecraft:brown_dye},"""minecraft:cocoa_beans""",,,,,,,,,
minecraft:smelting,,blocks,,,@{id=minecraft:brown_glazed_terracotta},,minecraft:brown_terracotta,0.1,200,,,,,,
minecraft:crafting_shaped,@{#=minecraft:brown_wool; G=minecraft:glass; L=minecraft:leather},equipment,harness,"[""LLL"",""G#G""]",@{count=1; id=minecraft:brown_harness},,,,,,,,,,
minecraft:crafting_transmute,,misc,shulker_box_dye,,@{id=minecraft:brown_shulker_box},,,,,#minecraft:shulker_boxes,minecraft:brown_dye,,,,
minecraft:crafting_shaped,@{#=minecraft:glass; X=minecraft:brown_dye},building,stained_glass,"[""###"",""#X#"",""###""]",@{count=8; id=minecraft:brown_stained_glass},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:brown_stained_glass},misc,stained_glass_pane,"[""###"",""###""]",@{count=16; id=minecraft:brown_stained_glass_pane},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:glass_pane; $=minecraft:brown_dye},misc,stained_glass_pane,"[""###"",""#$#"",""###""]",@{count=8; id=minecraft:brown_stained_glass_pane},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:terracotta; X=minecraft:brown_dye},building,stained_terracotta,"[""###"",""#X#"",""###""]",@{count=8; id=minecraft:brown_terracotta},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:copper_ingot; I=minecraft:stick; X=minecraft:feather},equipment,,"[""X"",""#"",""I""]",@{count=1; id=minecraft:brush},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:iron_ingot},misc,,"[""# #"","" # ""]",@{count=1; id=minecraft:bucket},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:leather; -=minecraft:string},equipment,,"[""-"",""#""]",@{count=1; id=minecraft:bundle},,,,,,,,,,
minecraft:crafting_shaped,@{A=minecraft:milk_bucket; B=minecraft:sugar; C=minecraft:wheat; E=#minecraft:eggs},misc,,"[""AAA"",""BEB"",""CCC""]",@{count=1; id=minecraft:cake},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:amethyst_shard; X=minecraft:sculk_sensor},redstone,,"["" # "",""#X#""]",@{count=1; id=minecraft:calibrated_sculk_sensor},,,,,,,,,,
minecraft:crafting_shaped,@{C=#minecraft:coals; L=#minecraft:logs; S=minecraft:stick},misc,,"["" S "",""SCS"",""LLL""]",@{count=1; id=minecraft:campfire},,,,,,,,,,
minecraft:crafting_shaped,@{H=minecraft:honeycomb; S=minecraft:string},misc,,"[""S"",""H""]",@{count=1; id=minecraft:candle},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:fishing_rod; X=minecraft:carrot},misc,,"[""# "","" X""]",@{count=1; id=minecraft:carrot_on_a_stick},,,,,,,,,,
minecraft:crafting_shaped,@{#=#minecraft:planks; @=minecraft:paper},misc,,"[""@@"",""##"",""##""]",@{count=1; id=minecraft:cartography_table},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:iron_ingot},misc,,"[""# #"",""# #"",""###""]",@{count=1; id=minecraft:cauldron},,,,,,,,,,
minecraft:smelting,,misc,,,@{id=minecraft:charcoal},,#minecraft:logs_that_burn,0.15,200,,,,,,
minecraft:crafting_shaped,@{#=minecraft:cherry_planks},misc,boat,"[""# #"",""###""]",@{count=1; id=minecraft:cherry_boat},,,,,,,,,,
minecraft:crafting_shapeless,,redstone,wooden_button,,@{count=1; id=minecraft:cherry_button},"""minecraft:cherry_planks""",,,,,,,,,
minecraft:crafting_shapeless,,misc,chest_boat,,@{count=1; id=minecraft:cherry_chest_boat},"[""minecraft:chest"",""minecraft:cherry_boat""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:cherry_planks},redstone,wooden_door,"[""##"",""##"",""##""]",@{count=3; id=minecraft:cherry_door},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; W=minecraft:cherry_planks},misc,wooden_fence,"[""W#W"",""W#W""]",@{count=3; id=minecraft:cherry_fence},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; W=minecraft:cherry_planks},redstone,wooden_fence_gate,"[""#W#"",""#W#""]",@{count=1; id=minecraft:cherry_fence_gate},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stripped_cherry_log; X=minecraft:iron_chain},misc,hanging_sign,"[""X X"",""###"",""###""]",@{count=6; id=minecraft:cherry_hanging_sign},,,,,,,,,,
minecraft:crafting_shapeless,,building,planks,,@{count=4; id=minecraft:cherry_planks},"""#minecraft:cherry_logs""",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:cherry_planks},redstone,wooden_pressure_plate,"""##""",@{count=1; id=minecraft:cherry_pressure_plate},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stripped_cherry_log},misc,shelf,"[""###"",""   "",""###""]",@{count=6; id=minecraft:cherry_shelf},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:cherry_planks; X=minecraft:stick},misc,wooden_sign,"[""###"",""###"","" X ""]",@{count=3; id=minecraft:cherry_sign},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:cherry_planks},building,wooden_slab,"""###""",@{count=6; id=minecraft:cherry_slab},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:cherry_planks},building,wooden_stairs,"[""#  "",""## "",""###""]",@{count=4; id=minecraft:cherry_stairs},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:cherry_planks},redstone,wooden_trapdoor,"[""###"",""###""]",@{count=2; id=minecraft:cherry_trapdoor},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:cherry_log},building,bark,"[""##"",""##""]",@{count=3; id=minecraft:cherry_wood},,,,,,,,,,
